tech_company,benefits,workplace_resources,mh_employer_discussion,mh_coworker_discussion,medical_coverage,mental_health,mh_share,age,gender,country
Yes,Yes,Yes,No,No,Yes,No,9,27.0,Female,India
Yes,I don't know,No,No,No,No,Possibly,5,30.0,Female,United States of America
No,Yes,Yes,No,Yes,Yes,Possibly,4,32.0,Male,Brazil
Yes,Yes,Yes,No,No,Yes,No,2,39.0,Female,India
Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,34.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,No,7,27.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,Possibly,8,28.0,Male,United Kingdom
Yes,I don't know,No,No,No,No,Yes,10,34.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,5,22.0,Other,Indonesia
Yes,Yes,Yes,No,No,Yes,No,5,36.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,9,30.0,Male,United States of America
No,Yes,Yes,No,No,Yes,No,8,58.0,Male,United States of America
No,I don't know,No,No,Yes,Yes,Don't Know,8,40.0,Male,Netherlands
No,Yes,Yes,Yes,Yes,Yes,Yes,8,33.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,Possibly,3,30.0,Female,United States of America
No,Yes,Yes,Yes,No,Yes,Possibly,7,44.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,10,30.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Yes,9,39.0,Male,United States of America
Yes,Yes,No,No,No,Yes,Don't Know,5,48.0,Male,India
No,I don't know,No,No,No,Yes,Possibly,2,26.0,Male,United States of America
No,I don't know,Yes,No,No,Yes,Possibly,8,28.0,Female,Germany
Yes,Yes,I don't know,No,No,Yes,Possibly,8,36.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,No,5,37.0,Male,Canada
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,9,42.0,Male,United States of America
Yes,Yes,No,No,Yes,Yes,Don't Know,5,31.0,Male,Brazil
No,I don't know,I don't know,No,No,Yes,No,7,22.0,Male,Spain
Yes,I don't know,No,No,Yes,Yes,Yes,9,40.0,Male,Spain
Yes,Yes,Yes,No,No,Yes,No,6,50.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,29.0,Female,Canada
No,No,No,No,No,Yes,Possibly,4,33.0,Female,Canada
Yes,I don't know,Yes,Yes,No,Yes,No,6,27.0,Female,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Yes,7,36.0,Male,United States of America
No,Yes,Yes,No,Yes,Yes,Possibly,5,33.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,No,7,42.0,Male,Canada
Yes,I don't know,I don't know,Yes,Yes,Yes,Possibly,8,31.0,Male,United Kingdom
No,Yes,Yes,No,Yes,Yes,Possibly,8,35.0,Female,Mongolia
No,Yes,Yes,No,No,Yes,Possibly,5,46.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,9,54.0,Female,United States of America
Yes,I don't know,No,No,No,No,Possibly,5,32.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,Possibly,7,26.0,Female,United States of America
No,Yes,No,No,No,Yes,No,9,30.0,Male,Germany
Yes,Yes,No,Yes,Yes,Yes,Yes,4,44.0,Male,United States of America
Yes,No,I don't know,No,Yes,Yes,No,10,37.0,Male,United States of America
Yes,Yes,No,No,No,Yes,Don't Know,7,29.0,Female,Brazil
Yes,Yes,No,No,Yes,Yes,No,6,39.0,Male,United States of America
Yes,I don't know,I don't know,Yes,Yes,Yes,Yes,8,20.0,Male,Spain
Yes,I don't know,I don't know,No,No,Yes,Don't Know,7,44.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,No,10,22.0,Female,United States of America
Yes,I don't know,Yes,No,No,No,No,0,31.0,Female,United States of America
No,Yes,Yes,No,No,Yes,Yes,9,59.0,Male,United States of America
No,Yes,No,No,No,Yes,Yes,10,48.0,Female,United States of America
Yes,Yes,No,No,No,Yes,No,0,23.0,Male,Germany
No,Yes,No,No,No,Yes,No,5,27.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,Possibly,2,53.0,Female,United States of America
No,I don't know,I don't know,No,No,Yes,No,3,62.0,Male,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Possibly,9,32.0,Male,United States of America
Yes,No,No,Yes,Yes,Yes,Yes,10,42.0,Male,Netherlands
Yes,No,I don't know,Yes,No,Yes,Yes,10,45.0,Male,United States of America
Yes,No,I don't know,Yes,Yes,Yes,No,8,29.0,Female,Spain
Yes,No,No,Yes,Yes,Yes,Possibly,10,47.0,Male,Netherlands
No,Yes,Yes,No,No,Yes,Yes,7,32.0,Female,United States of America
No,Yes,No,No,Yes,Yes,No,8,26.0,Male,United States of America
No,No,No,Yes,Yes,Yes,Yes,9,34.0,Male,Germany
Yes,Yes,No,No,Yes,Yes,No,7,45.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,No,5,21.0,Female,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Possibly,7,24.0,Female,United States of America
Yes,Yes,Yes,No,Yes,Yes,No,5,26.0,Female,Indonesia
No,Yes,Yes,Yes,Yes,Yes,Yes,9,42.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,46.0,Male,United Kingdom
Yes,Yes,No,No,No,Yes,Yes,1,30.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,No,3,27.0,Female,United States of America
No,Yes,Yes,Yes,Yes,Yes,Possibly,2,62.0,Male,United States of America
Yes,I don't know,No,Yes,Yes,Yes,Yes,8,38.0,Male,Spain
Yes,No,Yes,Yes,Yes,Yes,Yes,10,42.0,Male,Spain
Yes,I don't know,Yes,No,No,No,Possibly,5,35.0,Male,United States of America
No,Yes,Yes,Yes,Yes,Yes,Possibly,8,32.0,Male,United Kingdom
Yes,No,No,No,No,No,No,6,32.0,Female,United States of America
No,No,No,No,No,Yes,Yes,7,24.0,Female,France
Yes,Yes,Yes,Yes,Yes,Yes,No,7,48.0,Female,United States of America
Yes,I don't know,No,No,No,Yes,Don't Know,10,32.0,Male,Canada
Yes,Yes,I don't know,No,No,Yes,No,7,21.0,Male,Ireland
No,Yes,No,No,Yes,Yes,Yes,1,34.0,Male,United States of America
No,Yes,I don't know,No,No,Yes,No,8,25.0,Male,Canada
Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,39.0,Male,United States of America
No,I don't know,Yes,Yes,Yes,Yes,Don't Know,3,28.0,Female,France
Yes,Yes,Yes,Yes,Yes,Yes,Possibly,8,39.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,40.0,Female,United Kingdom
No,No,No,No,No,Yes,No,9,53.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,Possibly,4,23.0,Female,Philippines
Yes,I don't know,I don't know,No,Yes,Yes,Yes,7,34.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Possibly,5,43.0,Male,Canada
Yes,No,No,Yes,Yes,Yes,No,8,37.0,Male,Netherlands
Yes,I don't know,I don't know,No,No,Yes,Possibly,2,28.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,No,10,41.0,Male,Brazil
Yes,Yes,I don't know,No,Yes,Yes,No,5,35.0,Male,Brazil
No,Yes,Yes,No,No,Yes,No,8,35.0,Female,Canada
Yes,No,No,No,No,Yes,No,5,30.0,Female,United States of America
Yes,No,Yes,Yes,No,Yes,Yes,8,34.0,Female,United States of America
No,Yes,No,No,No,Yes,Don't Know,4,23.0,Female,Germany
Yes,Yes,I don't know,No,No,Yes,No,6,24.0,Female,Macedonia
No,I don't know,Yes,No,No,No,Yes,2,33.0,Male,United States of America
Yes,Yes,No,No,No,Yes,Possibly,5,22.0,Male,India
Yes,Yes,Yes,Yes,Yes,Yes,No,0,45.0,Female,Austria
No,Yes,Yes,No,Yes,Yes,Possibly,2,36.0,Female,United States of America
Yes,Yes,No,No,Yes,Yes,Yes,10,42.0,Other,United States of America
No,Yes,No,No,No,Yes,Yes,4,51.0,Female,United States of America
No,Yes,Yes,No,No,Yes,Yes,10,27.0,Female,United States of America
No,Yes,Yes,No,Yes,Yes,No,8,25.0,Male,Kenya
No,Yes,Yes,Yes,Yes,Yes,Yes,5,39.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Possibly,4,36.0,Female,United States of America
No,Yes,Yes,Yes,Yes,Yes,Possibly,5,26.0,Female,United States of America
No,Yes,Yes,Yes,Yes,Yes,No,5,31.0,Male,Brazil
No,Yes,Yes,Yes,No,Yes,No,7,28.0,Male,India
Yes,I don't know,Yes,No,No,Yes,No,6,27.0,Female,United States of America
Yes,No,No,No,No,Yes,Yes,8,36.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,40.0,Female,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,10,27.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,Yes,7,31.0,Male,United States of America
Yes,Yes,No,No,No,Yes,Don't Know,5,22.0,Male,India
Yes,Yes,No,Yes,Yes,Yes,Yes,8,42.0,Male,United States of America
No,Yes,Yes,No,Yes,Yes,Yes,7,38.0,Female,United States of America
No,Yes,Yes,No,No,Yes,No,8,29.0,Male,Germany
Yes,No,No,No,Yes,Yes,Yes,10,44.0,Female,United States of America
No,Yes,Yes,No,No,Yes,No,8,33.0,Male,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,8,43.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,Possibly,5,23.0,Female,India
Yes,No,I don't know,No,No,No,No,5,34.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,21.0,Female,United Kingdom
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,49.0,Male,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Yes,6,35.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,No,8,38.0,Male,Estonia
Yes,Yes,No,No,No,Yes,Yes,10,36.0,Male,Colombia
No,Yes,No,No,Yes,Yes,Possibly,10,23.0,Female,United States of America
No,I don't know,I don't know,No,No,Yes,No,9,25.0,Male,Netherlands
No,No,No,Yes,Yes,Yes,Possibly,4,45.0,Male,Canada
No,Yes,Yes,No,No,Yes,Possibly,5,51.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,10,38.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Possibly,7,24.0,Female,United Kingdom
Yes,Yes,I don't know,No,No,Yes,Yes,9,29.0,Male,United States of America
Yes,I don't know,I don't know,No,No,No,Don't Know,2,25.0,Female,United States of America
Yes,I don't know,I don't know,No,Yes,No,Yes,9,33.0,Female,United States of America
Yes,Yes,No,No,Yes,Yes,Possibly,1,23.0,Other,Australia
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,37.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,9,36.0,Other,United States of America
Yes,I don't know,No,No,No,No,Possibly,8,45.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,No,2,30.0,Male,India
No,I don't know,I don't know,No,No,Yes,No,8,34.0,Female,Germany
No,I don't know,No,No,Yes,Yes,Yes,0,45.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Yes,10,30.0,Female,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,9,35.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,No,10,46.0,Male,United States of America
Yes,No,No,No,Yes,Yes,Yes,6,33.0,Male,Germany
